s,k,E,N,phi,r,V,beta,delta_cmd,wheel_torque_cmd,rear_wr,e_min,e_max
16.580844,0.533448,-6.477798,0.106478,-2.703812,1.817005,3.406151,0.000000,0.137817,0.000000,3.406151,-1.100000,0.280000
16.680728,0.500888,-6.433109,0.017150,-2.652167,1.732984,3.459822,0.000000,0.129502,0.000000,3.459822,-1.180000,0.300000
16.780613,0.473606,-6.384005,-0.069829,-2.603620,1.664848,3.515260,0.000000,0.122521,0.000000,3.515260,-1.320000,0.300000
16.880498,0.474638,-6.330828,-0.154378,-2.556727,1.695220,3.571602,0.000000,0.122785,0.000000,3.571602,-1.340000,0.300000
16.980382,0.581931,-6.273653,-0.236273,-2.505646,2.109257,3.624586,0.000000,0.150163,0.000000,3.624586,-1.400000,0.320000
17.080267,0.414293,-6.212416,-0.315177,-2.461765,1.509358,3.643210,0.000000,0.107303,0.000000,3.643210,-1.580000,0.300000
17.180151,0.441369,-6.147644,-0.391202,-2.411128,1.633694,3.701424,0.000000,0.114256,0.000000,3.701424,-1.720000,0.300000
17.280036,0.377993,-6.079482,-0.464211,-2.370980,1.418482,3.752671,0.000000,0.097964,0.000000,3.752671,-1.540000,0.320000
17.379921,0.361113,-6.008594,-0.534578,-2.334287,1.376162,3.810893,0.000000,0.093615,0.000000,3.810893,-1.360000,0.340000
17.479805,0.354574,-5.935210,-0.602340,-2.298586,1.371829,3.868947,0.000000,0.091929,0.000000,3.868947,-1.220000,0.340000
17.579690,0.346910,-5.859474,-0.667462,-2.263524,1.361823,3.925586,0.000000,0.089953,0.000000,3.925586,-1.100000,0.380000
17.679574,0.338383,-5.781527,-0.729922,-2.229295,1.347129,3.981078,0.000000,0.087754,0.000000,3.981078,-1.020000,0.440000
17.779459,0.329028,-5.701514,-0.789713,-2.195952,1.327845,4.035657,0.000000,0.085340,0.000000,4.035657,-0.940000,0.460000
17.879344,0.321137,-5.619579,-0.846841,-2.163501,1.313306,4.089545,0.000000,0.083303,0.000000,4.089545,-0.880000,0.480000
17.979228,0.314734,-5.535853,-0.901311,-2.131755,1.303827,4.142628,0.000000,0.081649,0.000000,4.142628,-0.820000,0.520000
18.079113,0.308871,-5.450456,-0.953122,-2.100611,1.295647,4.194777,0.000000,0.080135,0.000000,4.194777,-0.760000,0.540000
18.178997,0.302457,-5.363502,-1.002274,-2.070064,1.284233,4.245997,0.000000,0.078477,0.000000,4.245997,-0.720000,0.580000
18.278882,0.295745,-5.275102,-1.048777,-2.040189,1.270656,4.296454,0.000000,0.076743,0.000000,4.296454,-0.680000,0.600000
18.378767,0.289663,-5.185368,-1.092649,-2.010963,1.258954,4.346269,0.000000,0.075170,0.000000,4.346269,-0.620000,0.620000
18.478651,0.287979,-5.094401,-1.133904,-1.982220,1.265787,4.395416,0.000000,0.074735,0.000000,4.395416,-0.580000,0.640000
18.578536,0.293739,-5.002284,-1.172524,-1.953244,1.305151,4.443238,0.000000,0.076224,0.000000,4.443238,-0.560000,0.680000
18.678420,0.301611,-4.909072,-1.208422,-1.923450,1.353766,4.488448,0.000000,0.078259,0.000000,4.488448,-0.520000,0.680000
18.778305,0.304837,-4.814823,-1.241498,-1.893114,1.381063,4.530503,0.000000,0.079092,0.000000,4.530503,-0.500000,0.700000
18.878190,0.304791,-4.719611,-1.271692,-1.862654,1.392971,4.570254,0.000000,0.079080,0.000000,4.570254,-0.460000,0.760000
18.978074,0.303250,-4.623524,-1.298974,-1.832263,1.397510,4.608437,0.000000,0.078682,0.000000,4.608437,-0.440000,0.760000
19.077959,0.299625,-4.526656,-1.323335,-1.802144,1.391893,4.645446,0.000000,0.077746,0.000000,4.645446,-0.440000,0.800000
19.177844,0.294821,-4.429102,-1.344787,-1.772442,1.380310,4.681860,0.000000,0.076504,0.000000,4.681860,-0.420000,0.800000
19.277728,0.288005,-4.330959,-1.363359,-1.743306,1.358819,4.718035,0.000000,0.074742,0.000000,4.718035,-0.400000,0.780000
19.377613,0.276139,-4.232323,-1.379104,-1.715047,1.312912,4.754528,0.000000,0.071673,0.000000,4.754528,-0.380000,0.800000
19.477497,0.249591,-4.133292,-1.392135,-1.688592,1.196183,4.792574,0.000000,0.064803,0.000000,4.792574,-0.380000,0.780000
19.577382,0.193676,-4.033970,-1.402722,-1.666290,0.936440,4.835086,0.000000,0.050313,0.000000,4.835086,-0.360000,0.780000
19.677267,0.114625,-3.934464,-1.411417,-1.650944,0.559994,4.885444,0.000000,0.029794,0.000000,4.885444,-0.340000,0.760000
19.777151,0.047690,-3.834865,-1.418959,-1.642966,0.235710,4.942599,0.000000,0.012399,0.000000,4.942599,-0.340000,0.780000
19.877036,0.013488,-3.735228,-1.425983,-1.639971,0.067439,5.000000,0.000000,0.003507,0.000000,5.000000,-0.320000,0.780000
19.976920,0.001128,-3.635579,-1.432841,-1.639256,0.005642,5.000000,0.000000,0.000293,0.000000,5.000000,-0.320000,0.780000
20.076805,-0.003140,-3.535928,-1.439675,-1.639360,-0.015700,5.000000,0.000000,-0.000816,0.000000,5.000000,-0.300000,0.800000
20.176690,-0.004069,-3.436279,-1.446536,-1.639720,-0.020346,5.000000,0.000000,-0.001058,0.000000,5.000000,-0.280000,0.780000
20.276574,-0.004172,-3.336633,-1.453435,-1.640132,-0.020858,5.000000,0.000000,-0.001085,0.000000,5.000000,-0.280000,0.800000
20.376459,-0.003847,-3.236990,-1.460375,-1.640533,-0.019234,5.000000,0.000000,-0.001000,0.000000,5.000000,-0.280000,0.780000
20.476344,-0.003990,-3.137350,-1.467355,-1.640924,-0.019952,5.000000,0.000000,-0.001037,0.000000,5.000000,-0.260000,0.780000
